club,coHo,league,seasonStart,seasonEnd,season,wages
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1993,1994,19931994,9789e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1994,1995,19941995,10384e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1995,1996,19951996,13234e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1996,1997,19961997,14599e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1997,1998,19971998,30128e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1998,1999,19981999,36273e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,1999,2000,19992000,40107e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2000,2001,20002001,4888e4
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2001,2002,20012002,56031e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2002,2003,20022003,54431e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2003,2004,20032004,54924e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2004,2005,20042005,64233e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2005,2006,20052006,68868e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2006,2007,20062007,77589e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2007,2008,20072008,89729e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2008,2009,20082009,100459e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2009,2010,20092010,121085e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2010,2011,20102011,134768e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2011,2012,20112012,118671e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2012,2013,20122013,13224e4
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2013,2014,20132014,143749e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2014,2015,20142015,166085e3
Liverpool,https://beta.companieshouse.gov.uk/company/00035668/filing-history,ENG,2015,2016,20152016,208258e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1992,1993,19921993,6922973
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1993,1994,19931994,7742004
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1994,1995,19941995,8901469
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1995,1996,19951996,10062063
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1996,1997,19961997,15279e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1997,1998,19971998,21882e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1998,1999,19981999,26478e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,1999,2000,19992000,3397e4
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2000,2001,20002001,40651e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2001,2002,20012002,60453e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2002,2003,20022003,59369e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2003,2004,20032004,68489e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2004,2005,20042005,63413e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2005,2006,20052006,77384e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2006,2007,20062007,87788e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2007,2008,20072008,96511e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2008,2009,20082009,101188e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2009,2010,20092010,107944e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2010,2011,20102011,12161e4
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2011,2012,20112012,14061e4
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2012,2013,20122013,151441e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2013,2014,20132014,163046e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2014,2015,20142015,189754e3
Arsenal,https://beta.companieshouse.gov.uk/company/00109244/filing-history,ENG,2015,2016,20152016,191764e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1992,1993,19921993,7588e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1993,1994,19931994,11066e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1994,1995,19941995,13449e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1995,1996,19951996,13275e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1996,1997,19961997,21847e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1997,1998,19971998,26897e3
